Factor,Adjective,Synonym,Verb,Noun
Behavioral Activation System,Approach Motivation,Driven,Pursue,Drive
Behavioral Activation System,Approach Motivation,Ambitious,Strive,Ambition
Behavioral Activation System,Approach Motivation,Energetic,Exert,Energy
Behavioral Activation System,Approach Motivation,Motivated,Engage,Motivation
Behavioral Activation System,Reward-Seeking,Desire for rewards,Seek,Reward-seeking
Behavioral Activation System,Reward-Seeking,Seeking pleasure,Chase,Pleasure-seeking
Behavioral Activation System,Reward-Seeking,Chasing gratification,Pursue,Gratification
Behavioral Activation System,Reward-Seeking,Goal-oriented,Strive for,Goal orientation
Behavioral Activation System,Positive Affect,Happiness,Enjoy,Happiness
Behavioral Activation System,Positive Affect,Joy,Rejoice,Joy
Behavioral Activation System,Positive Affect,Excitement,Celebrate,Excitement
Behavioral Activation System,Positive Affect,Elation,Delight in,Elation
Behavioral Activation System,Impulsivity,Spontaneous,Act impulsively,Impulsiveness
Behavioral Activation System,Impulsivity,Impulsive,Risk,Spontaneity
Behavioral Activation System,Impulsivity,Risk-taking,Venture,Risk-taking
Behavioral Activation System,Impulsivity,Adventurous,Dare,Adventurousness
Behavioral Inhibition System,Avoidance Motivation,Avoiding punishment,Avoid,Avoidance
Behavioral Inhibition System,Avoidance Motivation,Fear of negative outcomes,Shun,Fear
Behavioral Inhibition System,Avoidance Motivation,Preventing failure,Prevent,Prevention
Behavioral Inhibition System,Avoidance Motivation,Caution,Eschew,Caution
Behavioral Inhibition System,Anxiety,Worry,Worry,Anxiety
Behavioral Inhibition System,Anxiety,Nervousness,Fear,Worry
Behavioral Inhibition System,Anxiety,Apprehension,Dread,Apprehension
Behavioral Inhibition System,Anxiety,Fearfulness,Fret,Fearfulness
Behavioral Inhibition System,Negative Affect,Sadness,Feel sad,Sadness
Behavioral Inhibition System,Negative Affect,Guilt,Experience guilt,Guilt
Behavioral Inhibition System,Negative Affect,Disgust,Reject,Disgust
Behavioral Inhibition System,Negative Affect,Irritability,Irritate,Irritability
Behavioral Inhibition System,Inhibitory Control,Self-control,Control,Self-control
Behavioral Inhibition System,Inhibitory Control,Cautiousness,Exercise caution,Cautiousness
Behavioral Inhibition System,Inhibitory Control,Thoughtfulness,Think over,Thoughtfulness
Behavioral Inhibition System,Inhibitory Control,Restraint,Restrain,Restraint
Fight-Flight-Freeze System,Threat Response,Alertness,Alert,Alertness
Fight-Flight-Freeze System,Threat Response,Fear,Defend,Fear
Fight-Flight-Freeze System,Threat Response,Defensiveness,Guard,Defensiveness
Fight-Flight-Freeze System,Threat Response,Vigilance,Watch,Vigilance
Fight-Flight-Freeze System,Aggression,Hostility,Attack,Aggression
Fight-Flight-Freeze System,Aggression,Anger,Confront,Hostility
Fight-Flight-Freeze System,Aggression,Assertiveness,Defend,Anger
Fight-Flight-Freeze System,Aggression,Combativeness,Compete,Assertiveness
Fight-Flight-Freeze System,Freezing,Immobility,Freeze,Freezing
Fight-Flight-Freeze System,Freezing,Inhibition,Halt,Immobility
Fight-Flight-Freeze System,Freezing,Hesitation,Pause,Hesitation
Fight-Flight-Freeze System,Freezing,Paralysis,Stop,Paralysis
Fight-Flight-Freeze System,Avoidance,Escaping,Escape,Escape
Fight-Flight-Freeze System,Avoidance,Avoiding confrontation,Avoid,Avoidance
Fight-Flight-Freeze System,Avoidance,Withdrawing,Withdraw,Withdrawal
Fight-Flight-Freeze System,Avoidance,Hiding,Hide,Concealment
Socioemotional Regulation System,Affiliation,Social connection,Connect,Connection
Socioemotional Regulation System,Affiliation,Belongingness,Belong,Belonging
Socioemotional Regulation System,Affiliation,Companionship,Companion,Companionship
Socioemotional Regulation System,Affiliation,Inclusion,Include,Inclusion
Socioemotional Regulation System,Empathy,Understanding others,Understand,Understanding
Socioemotional Regulation System,Empathy,Compassion,Sympathize,Compassion
Socioemotional Regulation System,Empathy,Caring,Care for,Care
Socioemotional Regulation System,Empathy,Sensitivity,Sense,Sensitivity
Socioemotional Regulation System,Self-Regulation,Emotional control,Control emotions,Control
Socioemotional Regulation System,Self-Regulation,Self-discipline,Discipline oneself,Discipline
Socioemotional Regulation System,Self-Regulation,Self-management,Manage,Management
Socioemotional Regulation System,Self-Regulation,Self-regulation,Regulate,Regulation
Socioemotional Regulation System,Cooperation,Collaboration,Collaborate,Collaboration
Socioemotional Regulation System,Cooperation,Teamwork,Cooperate,Teamwork
Socioemotional Regulation System,Cooperation,Mutual support,Support,Support
Socioemotional Regulation System,Cooperation,Partnership,Partner,Partnership
