Factor,Adjective,Synonym,Verb,Noun
Valence,Positive,Happy,Smile,Happiness
Valence,Positive,Joyful,Laugh,Joy
Valence,Positive,Content,Rejoice,Contentment
Valence,Positive,Elated,Celebrate,Elation
Valence,Positive,Pleased,Bask,Pleasure
Valence,Positive,Cheerful,Savor,Cheerfulness
Valence,Negative,Sad,Cry,Sadness
Valence,Negative,Angry,Frown,Anger
Valence,Negative,Anxious,Yell,Anxiety
Valence,Negative,Disgusted,Brood,Disgust
Valence,Negative,Miserable,Lament,Misery
Valence,Negative,Frustrated,Complain,Frustration
Valence,Neutral,Calm,Maintain,Calmness
Valence,Neutral,Serene,Observe,Serenity
Valence,Neutral,Relaxed,Remain,Relaxation
Valence,Neutral,Indifferent,Regulate,Indifference
Valence,Neutral,Unmoved,Balance,Equanimity
Valence,Neutral,Detached,Monitor,Detachment
Arousal,High,Energetic,Energize,Energy
Arousal,High,Enthusiastic,Excite,Enthusiasm
Arousal,High,Agitated,Stimulate,Agitation
Arousal,High,Intense,Heighten,Intensity
Arousal,High,Thrilled,Mobilize,Thrill
Arousal,High,Stimulated,Revitalize,Stimulation
Arousal,Low,Calm,Relax,Calmness
Arousal,Low,Relaxed,Soothe,Relaxation
Arousal,Low,Tranquil,Unwind,Tranquility
Arousal,Low,Drowsy,Rest,Drowsiness
Arousal,Low,Peaceful,Lull,Peace
Arousal,Low,Lethargic,Decompress,Lethargy
Arousal,Moderate,Alert,Concentrate,Alertness
Arousal,Moderate,Attentive,Attend,Attention
Arousal,Moderate,Engaged,Engage,Engagement
Arousal,Moderate,Focused,Monitor,Focus
Arousal,Moderate,Responsive,Track,Awareness
Arousal,Moderate,Aware,Notice,Responsiveness
