Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Self-Transcendence,Equality,Fairness,Equalize,Equality,"[ 0.0583219  -0.04004844 -0.00439398 ...  0.03471412 -0.00229786
  0.00864433]",2
Self-Transcendence,Equality,Impartiality,Balance,Fairness,"[ 0.05153985 -0.0253193   0.0171377  ...  0.01256812 -0.00581936
  0.00594257]",2
Self-Transcendence,Equality,Justice,Level,Impartiality,"[ 0.02964611 -0.00787828  0.01722756 ...  0.01214981 -0.02340855
  0.01237612]",2
Self-Transcendence,Equality,Equity,Apportion,Equity,"[ 0.05300634 -0.02107463  0.01643435 ...  0.02302296  0.01039602
  0.0063618 ]",2
Self-Transcendence,Wisdom,Insightful,Understand,Wisdom,"[ 0.03219409 -0.03097405  0.01451597 ...  0.01511354 -0.01564887
  0.05358211]",2
Self-Transcendence,Wisdom,Intelligent,Comprehend,Insight,"[ 0.04574103 -0.04072907  0.0030774  ...  0.00627184 -0.01303248
  0.0339822 ]",2
Self-Transcendence,Wisdom,Thoughtful,Perceive,Intelligence,"[ 0.05197982 -0.04816504 -0.01092976 ... -0.00913215 -0.00037136
  0.02192813]",2
Self-Transcendence,Wisdom,Reflective,Reflect,Thoughtfulness,"[ 0.03568898 -0.02144186  0.01471297 ...  0.00904518 -0.00258965
  0.03335975]",2
Self-Transcendence,Social justice,Equity,Advocate,Social Justice,"[ 0.03161007 -0.03554377  0.00196334 ...  0.01586123 -0.00580572
  0.01831979]",2
Self-Transcendence,Social justice,Fairness,Support,Equity,"[ 0.03908972 -0.0330408   0.0033936  ...  0.01851768 -0.00949424
  0.01055708]",2
Self-Transcendence,Social justice,Inclusivity,Defend,Inclusiveness,"[ 0.03692438 -0.01735976  0.02189507 ...  0.01973208 -0.00485278
  0.00680645]",2
Self-Transcendence,Social justice,Human rights,Promote,Human Rights,"[ 0.03841206 -0.01464088  0.03114565 ...  0.01284454 -0.01057547
  0.01139261]",2
Self-Transcendence,Unity with nature,Harmony,Unify,Unity,"[ 0.02488859 -0.00300191  0.04022399 ...  0.00437304 -0.02596035
  0.02450488]",2
Self-Transcendence,Unity with nature,Connection,Connect,Connection,"[ 0.02171155 -0.01461693  0.01557294 ... -0.01074885 -0.0298125
  0.02301978]",2
Self-Transcendence,Unity with nature,Respect for nature,Respect,Respect,"[ 0.05416909  0.02223395  0.0353084  ...  0.01168944 -0.00441971
  0.02843877]",2
Self-Transcendence,Unity with nature,Environmental sustainability,Preserve,Sustainability,"[ 0.05000119  0.01184816  0.04555893 ... -0.00729614 -0.01235179
  0.02444531]",2
Self-Transcendence,Helpfulness,Kindness,Help,Helpfulness,"[ 0.01013547 -0.02894272  0.00700439 ... -0.01408472 -0.001298
  0.02188655]",2
Self-Transcendence,Helpfulness,Assistance,Assist,Kindness,"[ 0.00862898 -0.02114849  0.01284015 ... -0.00603886 -0.00864323
  0.02754719]",2
Self-Transcendence,Helpfulness,Support,Support,Assistance,"[ 0.02026975 -0.02377742  0.02797513 ... -0.00838823 -0.01871717
  0.02382055]",2
Self-Transcendence,Helpfulness,Altruism,Aid,Support,"[ 0.01201266 -0.02531594  0.0346339  ... -0.01554413 -0.01097024
  0.02792553]",2
Self-Transcendence,Honesty,Integrity,Honor,Honesty,"[ 0.02058243 -0.03278567 -0.00125565 ... -0.01035448 -0.01184474
  0.00454458]",2
Self-Transcendence,Honesty,Truthfulness,Be truthful,Integrity,"[ 0.0047309  -0.02558313  0.01494108 ...  0.00465178 -0.01393885
  0.01651035]",2
Self-Transcendence,Honesty,Authenticity,Authenticate,Truthfulness,"[ 0.02163923 -0.01463303 -0.00389961 ... -0.0012016  -0.01645354
  0.01237119]",2
Self-Transcendence,Honesty,Transparency,Clarify,Authenticity,"[ 0.00725137 -0.00776638 -0.00500591 ...  0.00130384 -0.02345707
 -0.00047682]",2
Self-Transcendence,Responsibility,Accountability,Manage,Responsibility,"[ 0.06098516  0.02155321  0.02181371 ... -0.00313975  0.00530261
 -0.0027747 ]",2
Self-Transcendence,Responsibility,Reliability,Handle,Accountability,"[ 0.06503633  0.00741075  0.02472646 ... -0.00387429 -0.00442417
 -0.01003434]",2
Self-Transcendence,Responsibility,Duty,Be responsible,Duty,"[ 0.0662788   0.00410816  0.03662055 ...  0.0196808  -0.0074968
  0.01858438]",2
Self-Transcendence,Responsibility,Obligation,Uphold,Obligation,"[ 0.04720376  0.01929631  0.01672347 ...  0.00583812 -0.01504325
  0.01251635]",2
Self-Transcendence,Forgiveness,Pardoning,Forgive,Forgiveness,"[ 0.04178878  0.00555338 -0.00518938 ... -0.0023598  -0.01454767
  0.02303485]",2
Self-Transcendence,Forgiveness,Mercy,Pardon,Mercy,"[ 0.02681766 -0.00081534  0.00342524 ... -0.01112178 -0.01875241
  0.0175697 ]",2
Self-Transcendence,Forgiveness,Compassion,Excuse,Compassion,"[ 0.03449437 -0.01068467 -0.01856398 ...  0.00100907 -0.01408401
  0.00895995]",2
Self-Transcendence,Forgiveness,Understanding,Understand,Understanding,"[ 0.01317715  0.00327482 -0.02061891 ...  0.02320114 -0.01003696
  0.04035544]",2
Openness to Change,Creativity,Imaginative,Create,Creativity,"[ 0.03509517  0.01344622  0.04189615 ... -0.03974164 -0.03094189
  0.0103118 ]",0
Openness to Change,Creativity,Inventive,Innovate,Innovation,"[ 0.02478438  0.0182615   0.05787768 ... -0.04553079 -0.02689397
 -0.00352676]",0
Openness to Change,Creativity,Artistic,Design,Artistry,"[ 0.032062    0.01309338  0.04750547 ... -0.02604688 -0.03407636
 -0.00052457]",0
Openness to Change,Creativity,Innovative,Invent,Invention,"[ 0.04040328  0.00639741  0.03687368 ... -0.03778282 -0.0251217
  0.00726644]",0
Openness to Change,Freedom,Autonomy,Liberate,Freedom,"[ 0.00208961 -0.00557229  0.05588207 ...  0.00035594 -0.03489313
 -0.00451422]",0
Openness to Change,Freedom,Liberty,Emancipate,Liberty,"[ 0.03436916  0.00011447  0.03767336 ... -0.00370708 -0.03434207
 -0.01369756]",0
Openness to Change,Freedom,Independence,Unbind,Autonomy,"[ 0.00675086  0.01162725  0.05486459 ... -0.00153814 -0.03159625
 -0.00210446]",0
Openness to Change,Freedom,Self-governance,Free,Independence,"[ 0.03415395  0.00886463  0.07895327 ... -0.00644463 -0.03355384
 -0.01525056]",0
Openness to Change,Curiosity,Inquisitiveness,Explore,Curiosity,"[ 0.00782108 -0.0067754   0.03455087 ... -0.02846928 -0.03933116
 -0.01217646]",0
Openness to Change,Curiosity,Exploration,Inquire,Exploration,"[-0.00060489  0.00463336  0.03544815 ... -0.03687485 -0.04414557
 -0.00994578]",0
Openness to Change,Curiosity,Wonder,Discover,Wonder,"[-0.00721675 -0.00973261  0.03032826 ... -0.0572377  -0.03766218
  0.00083273]",0
Openness to Change,Curiosity,Thirst for knowledge,Investigate,Discovery,"[ 0.00037652  0.00548107 -0.00043371 ... -0.02775761 -0.03381477
 -0.0190669 ]",0
Openness to Change,Independence,Self-reliance,Self-manage,Independence,"[ 0.037637    0.0090564   0.06136923 ... -0.01252607 -0.04082569
 -0.00550507]",0
Openness to Change,Independence,Individualism,Operate independently,Self-reliance,"[ 0.02084375  0.01543696  0.05419632 ... -0.01787708 -0.04710713
  0.00169524]",0
Openness to Change,Independence,Autonomy,Function autonomously,Autonomy,"[ 0.00025285  0.00282449  0.05598852 ... -0.01019901 -0.029768
  0.0041805 ]",0
Openness to Change,Independence,Non-conformity,Stand alone,Individualism,"[ 0.01274909  0.01790649  0.05963329 ... -0.02416414 -0.04400981
  0.00968903]",0
Openness to Change,Excitement,Thrill,Energize,Excitement,"[-0.00015468  0.01679501 -0.04940682 ... -0.01376392 -0.03022826
 -0.01774567]",0
Openness to Change,Excitement,Adrenaline,Stimulate,Thrill,"[-2.67517225e-05  2.46221256e-02 -2.86695976e-02 ... -4.80270758e-03
 -4.02694196e-02 -1.04779676e-02]",0
Openness to Change,Excitement,Excitement,Excite,Adrenaline,"[-0.00306461  0.02051083 -0.03207731 ...  0.00601632 -0.05002429
 -0.00630766]",0
Openness to Change,Excitement,Arousal,Thrill,Stimulation,"[ 0.00032597  0.01245187 -0.04064849 ... -0.01360765 -0.03276885
 -0.01146328]",0
Openness to Change,Novelty,Newness,Renew,Novelty,"[-0.01809664  0.03454304 -0.00820922 ... -0.04346549 -0.0226138
 -0.0085029 ]",0
Openness to Change,Novelty,Uniqueness,Revitalize,Originality,"[ 0.01436301  0.01862875  0.00833391 ... -0.02361885 -0.02701388
 -0.0229018 ]",0
Openness to Change,Novelty,Originality,Introduce,Uniqueness,"[ 2.26940084e-02 -6.04535406e-03  9.10645904e-05 ... -2.33125351e-02
 -1.82317868e-02 -1.94982924e-02]",0
Openness to Change,Novelty,Freshness,Innovate,Freshness,"[ 0.00055628  0.0091894  -0.00284526 ... -0.02920313 -0.01781504
 -0.02652524]",0
Openness to Change,Challenge,Difficulty,Confront,Challenge,"[ 0.01518852 -0.00814923  0.06390863 ... -0.01994954 -0.03382367
 -0.00119938]",0
Openness to Change,Challenge,Obstacle,Challenge,Difficulty,"[ 0.00376768 -0.00032068  0.05856534 ... -0.01733202 -0.02871019
  0.00367822]",0
Openness to Change,Challenge,Test,Compete,Test,"[ 0.01455369 -0.01690754  0.05187083 ... -0.0141231  -0.02230417
  0.00515981]",0
Openness to Change,Challenge,Adversity,Strive,Adversity,"[ 0.00063962 -0.00702572  0.06707702 ... -0.00033841 -0.04463395
  0.00088303]",0
Openness to Change,Thrill,Excitement,Thrill,Thrill,"[-0.01084206  0.03782385 -0.03532742 ... -0.0115968  -0.02959434
 -0.02650282]",0
Openness to Change,Thrill,Exhilaration,Exhilarate,Exhilaration,"[-0.01006255  0.00212834 -0.02124396 ...  0.00086156 -0.02299397
 -0.02556161]",0
Openness to Change,Thrill,Rush,Electrify,Excitement,"[-0.00633664  0.00541238 -0.06627224 ... -0.00511571 -0.04332951
 -0.0122701 ]",0
Openness to Change,Thrill,Euphoria,Excite,Rush,"[-0.0084913   0.00117309 -0.04512122 ...  0.00172856 -0.04477939
 -0.01984153]",0
Conservation,Safety,Protection,Protect,Safety,"[ 0.07358923  0.00528667 -0.00943995 ... -0.01028816  0.03954398
 -0.00828464]",3
Conservation,Safety,Security,Secure,Protection,"[ 0.07697801  0.00045116 -0.00399205 ... -0.01945884  0.0238987
 -0.01786662]",3
Conservation,Safety,Well-being,Shield,Security,"[ 0.04734287 -0.0092488   0.01813131 ... -0.00689081  0.00537987
 -0.01072159]",3
Conservation,Safety,Safeguarding,Defend,Safeguard,"[ 0.06979557  0.02192759  0.01884661 ... -0.01536735  0.03258329
 -0.01803503]",3
Conservation,Stability,Consistency,Stabilize,Stability,"[ 0.04041453  0.01581916  0.02309598 ... -0.03675548  0.00373814
  0.01638315]",3
Conservation,Stability,Predictability,Solidify,Consistency,"[ 0.03632917  0.01714454  0.01493445 ... -0.03266748  0.00067104
  0.00242587]",3
Conservation,Stability,Reliability,Sustain,Reliability,"[ 0.0556462   0.0273994   0.03084551 ... -0.02279517 -0.00167715
  0.00386981]",3
Conservation,Stability,Permanence,Maintain,Permanence,"[ 0.05635902  0.03050359  0.04537244 ... -0.0234125   0.02247494
 -0.00292656]",3
Conservation,Harmony,Peace,Harmonize,Harmony,"[ 0.05938543 -0.01291713  0.01343933 ... -0.03063557  0.01666679
 -0.00379681]",3
Conservation,Harmony,Agreement,Reconcile,Peace,"[ 0.04168808  0.01174989  0.04346815 ... -0.01757101 -0.00455425
 -0.00976885]",3
Conservation,Harmony,Concord,Accord,Concord,"[ 0.06374147 -0.00777834  0.0589245  ... -0.02943196  0.01201969
 -0.00977783]",3
Conservation,Harmony,Unity,Coordinate,Unity,"[ 0.06065101 -0.00940991  0.03147889 ... -0.0394963   0.00976858
  0.0060869 ]",3
Conservation,Order,Structure,Organize,Order,"[ 0.04625039  0.01414613  0.00900885 ... -0.03817965  0.0266245
 -0.00207352]",3
Conservation,Order,Organization,Systematize,Structure,"[ 0.03104144  0.02041824 -0.00701074 ... -0.03061308  0.02715769
 -0.00613975]",3
Conservation,Order,Arrangement,Arrange,Organization,"[ 0.03353921 -0.00921147  0.01517531 ... -0.03873543  0.01157339
  0.0026996 ]",3
Conservation,Order,Discipline,Order,Arrangement,"[ 0.04266807  0.01514028  0.01322212 ... -0.0344683   0.00773853
 -0.00688927]",3
Conservation,Obedience,Compliance,Obey,Obedience,"[ 0.04110506  0.03279012 -0.00576313 ... -0.01581495  0.03207189
  0.00209945]",3
Conservation,Obedience,Conformity,Comply,Compliance,"[ 0.03731371  0.03308482  0.00165148 ... -0.02184925  0.02262316
  0.00081019]",3
Conservation,Obedience,Submission,Submit,Submission,"[ 0.03998658  0.01962468 -0.01166275 ... -0.01729508  0.02962133
  0.0044749 ]",3
Conservation,Obedience,Adherence,Conform,Conformity,"[ 0.0469986   0.02400305  0.01492192 ... -0.01861155  0.02526923
 -0.00312292]",3
Conservation,Tradition,Custom,Uphold,Tradition,"[ 0.06256329  0.03020191  0.01534004 ... -0.04254181  0.0283972
 -0.01412147]",3
Conservation,Tradition,Ritual,Maintain,Custom,"[ 0.0798266   0.05313573  0.01057026 ... -0.0391138   0.03862181
 -0.01775804]",3
Conservation,Tradition,Heritage,Preserve,Heritage,"[ 0.04998492  0.00165977  0.03288481 ... -0.03762023  0.02505092
 -0.02451015]",3
Conservation,Tradition,Convention,Honor,Convention,"[ 0.06410816  0.01557936  0.01550474 ... -0.03999299  0.04372368
 -0.01996665]",3
Conservation,Respect,Admiration,Respect,Respect,"[ 0.08064687 -0.0100154  -0.00524772 ... -0.00981902  0.05091343
 -0.00461494]",3
Conservation,Respect,Esteem,Honor,Admiration,"[ 0.08837597 -0.01841887 -0.02663385 ... -0.01036962  0.05744727
 -0.00384087]",3
Conservation,Respect,Honoring,Value,Esteem,"[ 0.07091534  0.00445046 -0.01428237 ... -0.02208072  0.0635551
  0.00949968]",3
Conservation,Respect,Regard,Revere,Regard,"[ 0.07371979 -0.00291076  0.02567029 ...  0.00311737  0.06038002
  0.01155529]",3
Conservation,Discipline,Self-control,Discipline,Discipline,"[ 0.04700932  0.01743121  0.01750167 ... -0.02088363  0.03069133
  0.01147754]",3
Conservation,Discipline,Restraint,Regulate,Control,"[ 0.05191446  0.05323942  0.00169855 ... -0.03556321  0.02972133
  0.00340651]",3
Conservation,Discipline,Control,Control,Restraint,"[ 0.06342442  0.03484464  0.01235076 ... -0.03633628  0.02816211
  0.00142451]",3
Conservation,Discipline,Adherence to rules,Restrict,Adherence,"[ 0.05401343  0.05370842  0.05223886 ... -0.02653535  0.02663239
  0.00398931]",3
