Factor,Adjective,Synonym,Verb,Noun
Novelty Seeking,Exploratory,Curious,Explore,Exploration
Novelty Seeking,Exploratory,Inquisitive,Investigate,Curiosity
Novelty Seeking,Exploratory,Adventurous,Venture,Adventure
Novelty Seeking,Exploratory,Experimental,Experiment,Experimentation
Novelty Seeking,Impulsive,Spontaneous,Act impulsively,Impulsiveness
Novelty Seeking,Impulsive,Impetuous,React spontaneously,Spontaneity
Novelty Seeking,Impulsive,Hasty,Make rash decisions,Hastiness
Novelty Seeking,Extravagant,Dramatic,Exaggerate,Extravagance
Novelty Seeking,Extravagant,Theatrical,Embellish,Drama
Novelty Seeking,Extravagant,Flamboyant,Flaunt,Flamboyance
Novelty Seeking,Extravagant,Showy,Show off,Showiness
Novelty Seeking,Disorderly,Chaotic,Disorganize,Disorder
Novelty Seeking,Disorderly,Unruly,Clutter,Chaos
Novelty Seeking,Disorderly,Untidy,Disrupt,Untidiness
Novelty Seeking,Disorderly,Unorganized,Mess up,Disorganization
Novelty Seeking,Easily Bored,Restless,Fidget,Restlessness
Novelty Seeking,Easily Bored,Fidgety,Rest,Fidgetiness
Novelty Seeking,Easily Bored,Restive,Get restless,Boredom
Novelty Seeking,Easily Bored,Uneasy,Lose interest,Unease
Novelty Seeking,Quick-Tempered,Irritable,Snap,Irritability
Novelty Seeking,Quick-Tempered,Hot-headed,Explode,Hotheadedness
Novelty Seeking,Quick-Tempered,Easily provoked,Lose temper,Temper
Novelty Seeking,Quick-Tempered,Short-fused,React angrily,Anger
Harm Avoidance,Fearful,Anxious,Fear,Fear
Harm Avoidance,Fearful,Afraid,Worry,Anxiety
Harm Avoidance,Fearful,Nervous,Dread,Nervousness
Harm Avoidance,Fearful,Apprehensive,Anticipate with anxiety,Apprehension
Harm Avoidance,Fatigable,Weary,Tire,Fatigue
Harm Avoidance,Fatigable,Tired,Weary,Tiredness
Harm Avoidance,Fatigable,Exhausted,Exhaust,Exhaustion
Harm Avoidance,Fatigable,Drained,Deplete,Drain
Harm Avoidance,Shy,Timid,Withdraw,Shyness
Harm Avoidance,Shy,Bashful,Hesitate,Timidity
Harm Avoidance,Shy,Reserved,Recoil,Introversion
Harm Avoidance,Shy,Introverted,Shrink back,Reservation
Harm Avoidance,Frigid,Cold,Distance,Coldness
Harm Avoidance,Frigid,Aloof,Detach,Aloofness
Harm Avoidance,Frigid,Reserved,Isolate,Reserve
Harm Avoidance,Frigid,Unemotional,Cool off,Emotional detachment
Harm Avoidance,Pessimistic,Negative,Despair,Pessimism
Harm Avoidance,Pessimistic,Gloomy,Deprecate,Gloom
Harm Avoidance,Pessimistic,Dismal,Lament,Despair
Harm Avoidance,Pessimistic,Hopeless,Complain,Hopelessness
Harm Avoidance,Rigid,Inflexible,Resist,Rigidity
Harm Avoidance,Rigid,Stubborn,Oppose,Stubbornness
Harm Avoidance,Rigid,Unyielding,Refuse to change,Inflexibility
Harm Avoidance,Rigid,Obstinate,Persist,Obstinacy
Reward Dependence,Sentimental,Emotional,Cherish,Sentimentality
Reward Dependence,Sentimental,Romantic,Reminisce,Romance
Reward Dependence,Sentimental,Tender,Feel deeply,Tenderness
Reward Dependence,Sentimental,Affectionate,Show affection,Affection
Reward Dependence,Dependent,Reliant,Rely,Dependence
Reward Dependence,Dependent,Submissive,Depend,Reliance
Reward Dependence,Dependent,Compliant,Submit,Submissiveness
Reward Dependence,Dependent,Obedient,Comply,Compliance
Reward Dependence,Warm,Affable,Welcome,Warmth
Reward Dependence,Warm,Friendly,Embrace,Friendliness
Reward Dependence,Warm,Amiable,Be friendly,Amiability
Reward Dependence,Warm,Cordial,Show warmth,Cordiality
Reward Dependence,Sensitive,Responsive,Feel,Sensitivity
Reward Dependence,Sensitive,Empathetic,React sensitively,Responsiveness
Reward Dependence,Sensitive,Delicate,Empathize,Empathy
Reward Dependence,Sensitive,Tenderhearted,Perceive,Tenderness
Reward Dependence,Open,Approachable,Open up,Openness
Reward Dependence,Open,Receptive,Receive,Receptiveness
Reward Dependence,Open,Accepting,Welcome,Acceptance
Reward Dependence,Open,Accessible,Accept,Accessibility
Reward Dependence,Sociable,Outgoing,Socialize,Sociability
Reward Dependence,Sociable,Gregarious,Interact,Outgoingness
Reward Dependence,Sociable,Friendly,Mingle,Friendliness
Reward Dependence,Sociable,Extroverted,Engage,Extroversion
Persistence,Hardworking,Diligent,Work hard,Diligence
Persistence,Hardworking,Industrious,Persevere,Persistence
Persistence,Hardworking,Persistent,Persist,Industriousness
Persistence,Hardworking,Tenacious,Strive,Tenacity
Persistence,Perfectionist,Meticulous,Perfect,Perfectionism
Persistence,Perfectionist,Precise,Refine,Precision
Persistence,Perfectionist,Detail-oriented,Optimize,Exactitude
Persistence,Perfectionist,Exacting,Fine-tune,Meticulousness
Persistence,Ambitious,Driven,Aspire,Ambition
Persistence,Ambitious,Aspiring,Strive,Aspiration
Persistence,Ambitious,Goal-oriented,Pursue,Motivation
Persistence,Ambitious,Motivated,Achieve,Drive
Persistence,Workaholic,Obsessed with work,Overwork,Workaholism
Persistence,Workaholic,Addicted to work,Toil,Overworking
Persistence,Workaholic,Compulsive worker,Labor,Toil
Persistence,Workaholic,Overworked,Exert,Laboriousness
Persistence,Urgent,Hasty,Rush,Urgency
Persistence,Urgent,Rushed,Hurry,Haste
Persistence,Urgent,Impatient,Expedite,Impatience
Persistence,Urgent,Pressed for time,Accelerate,Rush
Persistence,Intolerant,Impatient,Reject,Intolerance
Persistence,Intolerant,Short-tempered,Dismiss,Impatience
Persistence,Intolerant,Frustrated,Disapprove,Frustration
Persistence,Intolerant,Tense,Resist,Tension
Self-Directedness,Responsible,Accountable,Account,Responsibility
Self-Directedness,Responsible,Reliable,Ensure,Accountability
Self-Directedness,Responsible,Trustworthy,Uphold,Reliability
Self-Directedness,Responsible,Dependable,Secure,Dependability
Self-Directedness,Purposeful,Determined,Focus,Purposefulness
Self-Directedness,Purposeful,Decisive,Aim,Determination
Self-Directedness,Purposeful,Resolute,Resolve,Resolution
Self-Directedness,Purposeful,Goal-oriented,Target,Decisiveness
Self-Directedness,Resourceful,Inventive,Utilize,Resourcefulness
Self-Directedness,Resourceful,Clever,Innovate,Inventiveness
Self-Directedness,Resourceful,Adaptable,Adapt,Adaptability
Self-Directedness,Resourceful,Resourceful,Manage,Ingenuity
Self-Directedness,Self-Accepting,Confident,Accept,Self-acceptance
Self-Directedness,Self-Accepting,Content,Embrace,Confidence
Self-Directedness,Self-Accepting,Self-assured,Affirm,Contentment
