Factor,Adjective,Synonym,Verb,Noun
Approach Motivation,Desire for Success,Driven,Drive,Drive
Approach Motivation,Desire for Success,Passionate,Passion,Passion
Approach Motivation,Desire for Success,Focused,Focus,Focus
Approach Motivation,Desire for Success,High-achieving,Achieve,Achievement
Approach Motivation,Optimism,Upbeat,Uplift,Optimism
Approach Motivation,Optimism,Cheerful,Cheer,Cheerfulness
Approach Motivation,Optimism,Energetic,Energize,Energy
Approach Motivation,Optimism,Optimistic,Hope,Hopefulness
Approach Motivation,Challenge-seeking,Daring,Dare,Daring
Approach Motivation,Challenge-seeking,Inquisitive,Inquire,Inquiry
Approach Motivation,Challenge-seeking,Bold,Confront,Boldness
Approach Motivation,Challenge-seeking,Venturesome,Venture,Venture
Approach Motivation,Reward Sensitivity,Sensory,Sense,Sensitivity
Approach Motivation,Reward Sensitivity,Attentive,Attend,Attention
Approach Motivation,Reward Sensitivity,Vigilant,Vigil,Vigilance
Approach Motivation,Reward Sensitivity,Aroused,Arouse,Arousal
Approach Motivation,Persistence,Steadfast,Persist,Persistence
Approach Motivation,Persistence,Unyielding,Endure,Endurance
Approach Motivation,Persistence,Indomitable,Overcome,Resilience
Approach Motivation,Persistence,Committed,Commit,Commitment
Avoidance Motivation,Fear of Failure,Nervous,Fear,Fear
Avoidance Motivation,Fear of Failure,Apprehensive,Worry,Apprehension
Avoidance Motivation,Fear of Failure,Uneasy,Tremble,Unease
Avoidance Motivation,Fear of Failure,Tense,Tense up,Tension
Avoidance Motivation,Pessimism,Skeptical,Doubt,Skepticism
Avoidance Motivation,Pessimism,Disheartened,Despair,Despair
Avoidance Motivation,Pessimism,Despondent,Dismay,Despondency
Avoidance Motivation,Pessimism,Discouraged,Discourage,Discouragement
Avoidance Motivation,Risk Avoidance,Prudent,Avoid,Caution
Avoidance Motivation,Risk Avoidance,Wary,Hesitate,Wariness
Avoidance Motivation,Risk Avoidance,Reserved,Secure,Reservation
Avoidance Motivation,Risk Avoidance,Conservative,Conserve,Conservatism
Avoidance Motivation,Loss Aversion,Defensive,Defend,Defense
Avoidance Motivation,Loss Aversion,Guarded,Guard,Guardedness
Avoidance Motivation,Loss Aversion,Cautious,Prevent,Caution
Avoidance Motivation,Loss Aversion,Fearful,Fear,Fear
Avoidance Motivation,Procrastination,Hesitant,Delay,Delay
Avoidance Motivation,Procrastination,Neglectful,Neglect,Neglect
Avoidance Motivation,Procrastination,Postponing,Postpone,Postponement
Avoidance Motivation,Procrastination,Sluggish,Stall,Stalling
