Factor,Adjective,Synonym,Verb,Noun,Embedding,Cluster
Autonomy,Independence,Freedom,Liberate,Freedom,"[ 0.02650498 -0.02278229  0.04631749 ...  0.01525326 -0.0303671
  0.01940817]",2
Autonomy,Independence,Self-reliance,Rely on self,Self-reliance,"[ 0.04164055 -0.00990137  0.04539759 ... -0.00407013 -0.04795447
  0.01828949]",2
Autonomy,Independence,Individuality,Individualize,Individuality,"[ 0.03475043 -0.01824037  0.01423182 ... -0.0104035  -0.0282906
  0.02390714]",2
Autonomy,Independence,Empowerment,Empower,Empowerment,"[ 0.02367755 -0.03341715  0.04085261 ... -0.02526077 -0.0215289
  0.0101354 ]",2
Autonomy,Choice,Decision-making,Decide,Decision,"[ 0.02942843 -0.01815286  0.03905131 ... -0.00890317 -0.0323073
  0.03076124]",2
Autonomy,Choice,Options,Opt,Option,"[ 0.00368299 -0.00354298  0.04232168 ... -0.00275524 -0.03133059
 -0.00042957]",2
Autonomy,Choice,Selection,Select,Selection,"[ 0.02750293 -0.02517053  0.06214191 ...  0.00349687 -0.03201503
 -0.00221266]",2
Autonomy,Choice,Volition,Will,Volition,"[ 0.04043033  0.00014449  0.0117242  ... -0.00397481 -0.00777906
  0.00581761]",2
Autonomy,Authenticity,Genuineness,Authenticate,Authenticity,"[ 0.00253453  0.02115221  0.00561115 ... -0.00996581 -0.00556448
 -0.00809183]",2
Autonomy,Authenticity,Sincerity,Sincere,Sincerity,"[ 0.01936021 -0.0064796  -0.00142523 ... -0.00428282 -0.01405223
  0.00868709]",2
Autonomy,Authenticity,Realness,Realize,Realness,"[ 0.02852164  0.01717355  0.00871655 ...  0.00260631 -0.02474375
  0.02131193]",2
Autonomy,Authenticity,True self,Express,Self,"[ 0.00448183 -0.01762637  0.02433299 ... -0.00364171 -0.01069046
 -0.00473261]",2
Autonomy,Self-governance,Self-control,Control,Governance,"[ 0.0516298   0.01716915  0.06296715 ... -0.01492615 -0.00520648
 -0.00560071]",2
Autonomy,Self-governance,Self-discipline,Discipline,Discipline,"[ 0.04486801  0.02056224  0.06483346 ...  0.00714796 -0.00885696
  0.00374691]",2
Autonomy,Self-governance,Self-regulation,Regulate,Regulation,"[ 0.03076937  0.02710255  0.05930677 ... -0.01596925 -0.02306374
  0.0138037 ]",2
Autonomy,Self-governance,Self-management,Manage,Management,"[ 0.04400109  0.02617821  0.05962662 ... -0.01209894 -0.00259408
  0.0091149 ]",2
Autonomy,Self-expression,Creativity,Create,Expression,"[ 0.05516998 -0.00437972  0.03705652 ... -0.03766492 -0.0201322
  0.01678605]",2
Autonomy,Self-expression,Self-identity,Identify,Identity,"[ 0.03514943 -0.02934569  0.01949567 ...  0.00635551 -0.02449561
  0.01940031]",2
Autonomy,Self-expression,Uniqueness,Distinguish,Uniqueness,"[ 0.04380207 -0.02906891  0.04402917 ... -0.01618093 -0.02563401
  0.02253976]",2
Autonomy,Self-expression,Personal voice,Express,Voice,"[ 0.03297717 -0.00954378  0.0241719  ... -0.01406714 -0.02323456
  0.00862065]",2
Autonomy,Initiative,Proactivity,Initiate,Initiative,"[-0.01647551 -0.00220087  0.06286421 ... -0.00631974 -0.0464042
  0.0003497 ]",2
Autonomy,Initiative,Enterprise,Undertake,Enterprise,"[ 0.01872233 -0.0218075   0.07235355 ...  0.01153064 -0.02678039
  0.00583576]",2
Autonomy,Initiative,Taking charge,Lead,Leadership,"[ 0.01460126 -0.02279652  0.09342448 ... -0.01505041 -0.04447382
 -0.01522713]",2
Autonomy,Initiative,Being proactive,Activate,Proactivity,"[ 0.0011612  -0.00376548  0.06409581 ... -0.01023624 -0.05128897
  0.00618408]",2
Autonomy,Freedom of expression,Speech,Speak,Freedom,"[ 0.0663778  -0.01258699  0.05739889 ...  0.02122162 -0.03227999
  0.019211  ]",2
Autonomy,Freedom of expression,Artistic expression,Express,Expression,"[ 0.04925595 -0.00599304  0.03934895 ... -0.0042349  -0.01458144
  0.01301166]",2
Autonomy,Freedom of expression,Opinion,Opine,Opinion,"[ 0.08039347 -0.00985524  0.02389106 ...  0.00178141 -0.04074265
  0.01723949]",2
Autonomy,Freedom of expression,Voice,Voice,Voice,"[ 0.05443883 -0.00091289  0.03666785 ... -0.00376949 -0.03182952
 -0.00103461]",2
Competence,Mastery,Proficiency,Master,Mastery,"[ 0.04646208  0.03072967  0.04058081 ... -0.04134537 -0.0033266
  0.00881456]",0
Competence,Mastery,Skillfulness,Skill,Skillfulness,"[ 0.07097703  0.03262874  0.0200457  ... -0.03935603 -0.00526336
  0.03227467]",0
Competence,Mastery,Expertise,Expertise,Expertise,"[ 0.05625175  0.02309117  0.03545686 ... -0.04124748 -0.00333389
  0.01459779]",0
Competence,Mastery,Competency,Compete,Competency,"[ 0.06204199  0.00674147  0.01110721 ... -0.02691126  0.00877244
  0.00772111]",0
Competence,Effectiveness,Efficacy,Effect,Effectiveness,"[ 0.05243527 -0.00648542  0.03359011 ... -0.01470553  0.00340369
  0.01562545]",0
Competence,Effectiveness,Productivity,Produce,Productivity,[0.05613207 0.01016073 0.03221538 ... 0.00952287 0.00061974 0.01310521],0
Competence,Effectiveness,Efficiency,Efficient,Efficiency,"[ 0.0350364  -0.0044754   0.02837287 ... -0.01741243  0.01943528
  0.01710834]",0
Competence,Effectiveness,Capability,Capable,Capability,"[ 0.06186628  0.01168333  0.01116289 ... -0.0126575   0.01694784
  0.03101321]",0
Competence,Achievement,Success,Succeed,Achievement,"[ 0.07162546 -0.03102088  0.02905931 ... -0.00942956  0.00039932
  0.03233794]",0
Competence,Achievement,Accomplishment,Accomplish,Accomplishment,"[ 0.05721775 -0.03175926  0.00638946 ... -0.02594098  0.02442256
  0.03431362]",0
Competence,Achievement,Attainment,Attain,Attainment,"[ 0.0710528  -0.00546422  0.02366041 ... -0.00716397  0.01419195
  0.01717634]",0
Competence,Achievement,Triumph,Triumph,Triumph,"[ 0.05639829 -0.00312711  0.04351175 ...  0.00296564 -0.00023483
  0.02155108]",0
Competence,Growth,Development,Develop,Growth,"[ 0.0566312   0.01459384  0.04801933 ... -0.02565846  0.00110374
  0.01093516]",0
Competence,Growth,Advancement,Advance,Development,"[ 0.0608425   0.00903131  0.06758357 ... -0.02200931 -0.00523225
  0.00980912]",0
Competence,Growth,Progress,Progress,Advancement,"[ 0.06196097  0.00574614  0.06131185 ... -0.02438607 -0.01352077
 -0.00090544]",0
Competence,Growth,Improvement,Improve,Improvement,"[ 0.05123479  0.02387137  0.0469243  ... -0.03172847 -0.01063299
  0.00286798]",0
Competence,Confidence,Self-assurance,Confide,Confidence,"[ 0.05714397 -0.0478681   0.01046399 ... -0.02185843 -0.00500296
  0.0230036 ]",0
Competence,Confidence,Belief,Believe,Belief,"[ 0.06446566 -0.02601436 -0.01375394 ... -0.01390329  0.0096875
  0.01758278]",0
Competence,Confidence,Assuredness,Assure,Assuredness,"[ 0.04771489 -0.03488204  0.0045316  ... -0.01773267  0.00921632
  0.01047774]",0
Competence,Confidence,Certainty,Certify,Certainty,"[ 0.04483011 -0.02476908 -0.01532337 ... -0.02035714 -0.00561487
  0.01101506]",0
Competence,Learning,Knowledge acquisition,Learn,Learning,"[ 0.02362117 -0.01938615  0.00410419 ... -0.00571058 -0.02132112
  0.03259016]",0
Competence,Learning,Academic growth,Acquire,Acquisition,"[ 0.02355068 -0.0162314   0.02233957 ... -0.02617034 -0.00098813
  0.02643363]",0
Competence,Learning,Intellectual development,Develop intellectually,Development,"[ 0.03005455 -0.01242413  0.01018187 ... -0.03159278 -0.00886846
  0.02096719]",0
Competence,Learning,Education,Educate,Education,"[ 0.03642949 -0.01534143 -0.00795292 ... -0.01284652 -0.01127518
  0.02272995]",0
Competence,Challenge,Difficulty,Challenge,Challenge,"[ 0.06066373 -0.0013475   0.04517882 ... -0.02611266  0.00425908
  0.01750027]",0
Competence,Challenge,Obstacle,Obstruct,Obstacle,"[ 0.0408702  -0.00558006  0.01017231 ... -0.01921352 -0.00436602
  0.01931909]",0
Competence,Challenge,Hurdle,Hurdle,Hurdle,"[ 0.04323041  0.00162758  0.04835378 ... -0.04104766 -0.02106952
 -0.00373643]",0
