Factor,Adjective,Synonym,Verb,Noun
Behavior,Active,Energetic,Activate,Activity
Behavior,Active,Vigorous,Energize,Energy
Behavior,Active,Dynamic,Stimulate,Dynamism
Behavior,Active,Animated,Animate,Animation
Behavior,Active,Lively,Invigorate,Vigor
Behavior,Active,Exuberant,Revitalize,Vitality
Behavior,Passive,Inactive,Rest,Inactivity
Behavior,Passive,Lethargic,Stagnate,Lethargy
Behavior,Passive,Sluggish,Laze,Sluggishness
Behavior,Passive,Static,Idle,Stasis
Behavior,Passive,Dormant,Recline,Dormancy
Behavior,Passive,Idle,Doze,Idleness
Behavior,Aggressive,Forceful,Attack,Aggression
Behavior,Aggressive,Fierce,Assault,Forcefulness
Behavior,Aggressive,Violent,Dominate,Violence
Behavior,Aggressive,Brutal,Threaten,Brutality
Behavior,Aggressive,Hostile,Confront,Hostility
Behavior,Aggressive,Belligerent,Strike,Belligerence
Behavior,Submissive,Compliant,Submit,Submissiveness
Behavior,Submissive,Yielding,Yield,Compliance
Behavior,Submissive,Acquiescent,Acquiesce,Yielding
Behavior,Submissive,Resigned,Comply,Resignation
Behavior,Submissive,Obedient,Obey,Obedience
Behavior,Submissive,Docile,Concede,Docility
Behavior,Flexible,Adaptable,Adapt,Flexibility
Behavior,Flexible,Versatile,Adjust,Versatility
Behavior,Flexible,Resilient,Bend,Resilience
Behavior,Flexible,Adjustable,Modify,Adaptability
Behavior,Flexible,Malleable,Accommodate,Adjustability
Behavior,Flexible,Agile,Shift,Malleability
Behavior,Rigid,Inflexible,Resist,Rigidity
Behavior,Rigid,Strict,Enforce,Strictness
Behavior,Rigid,Unyielding,Maintain,Unyieldingness
Behavior,Rigid,Fixed,Fix,Fixation
Behavior,Rigid,Stern,Uphold,Sternness
Behavior,Rigid,Unbending,Restrict,Inflexibility
Cognition,Analytical,Logical,Analyze,Analysis
Cognition,Analytical,Rational,Rationalize,Rationality
Cognition,Analytical,Objective,Objectify,Objectivity
Cognition,Analytical,Systematic,Systematize,Systematization
Cognition,Analytical,Methodical,Evaluate,Evaluation
Cognition,Analytical,Critical,Examine,Examination
Cognition,Intuitive,Instinctive,Intuit,Intuition
Cognition,Intuitive,Innate,Sense,Instinct
Cognition,Intuitive,Impulsive,Impulse,Impulsiveness
Cognition,Intuitive,Spontaneous,Spontane,Spontaneity
Cognition,Intuitive,Unconscious,Perceive,Perception
Cognition,Intuitive,Perceptive,Discern,Discernment
Cognition,Abstract,Theoretical,Theorize,Abstraction
Cognition,Abstract,Conceptual,Conceptualize,Theory
Cognition,Abstract,Hypothetical,Hypothesize,Concept
Cognition,Abstract,Metaphysical,Philosophize,Metaphysics
Cognition,Abstract,Speculative,Speculate,Speculation
Cognition,Abstract,Ideational,Imagine,Imagination
Cognition,Concrete,Actual,Realize,Reality
Cognition,Concrete,Tangible,Materialize,Tangibility
Cognition,Concrete,Literal,Literalize,Literalism
Cognition,Concrete,Real,Actualize,Actuality
Cognition,Concrete,Practical,Define,Practicality
Cognition,Concrete,Definite,Manifest,Definition
Cognition,Creative,Innovative,Create,Creativity
Cognition,Creative,Imaginative,Innovate,Innovation
Cognition,Creative,Inventive,Imagine,Imagination
Cognition,Creative,Original,Invent,Invention
Cognition,Creative,Visionary,Design,Originality
Cognition,Creative,Artistic,Inspire,Vision
Cognition,Rigid Thinking,Fixed,Fixate,Rigidity
Cognition,Rigid Thinking,Dogmatic,Adhere,Dogmatism
Cognition,Rigid Thinking,Inflexible,Resist,Inflexibility
Cognition,Rigid Thinking,Unadaptable,Cling to,Conservatism
Cognition,Rigid Thinking,Conservative,Reject change,Narrow-mindedness
Cognition,Rigid Thinking,Narrow-minded,Persevere,Adherence
Environment,Stimulating,Invigorating,Stimulate,Stimulation
Environment,Stimulating,Exciting,Excite,Excitement
Environment,Stimulating,Exhilarating,Invigorate,Invigoration
Environment,Stimulating,Inspiring,Inspire,Inspiration
Environment,Stimulating,Energizing,Energize,Energy
